Run_ID	Model	RMSE
78	RidgePred	2.73607902528458
78	ForwardPredMean	1.02755361325603
78	BMA_Mean	0.823424078709399
17	RFPred	3.67618652692353
17	LassoPred	1.45889779913414
17	RidgePred	3.34194263563683
17	ForwardPredMean	1.05589185689152
17	BMA_Mean	1.06839156654214
82	RFPred	2.81882289008444
82	LassoPred	0.853073063460148
82	RidgePred	2.49472392353179
82	ForwardPredMean	1.4159100991725
82	BMA_Mean	1.1139016304121
19	RFPred	2.789721435774
19	LassoPred	0.608428821450449
19	RidgePred	2.47708758305781
19	ForwardPredMean	0.954617808505081
19	BMA_Mean	1.0254685525226
23	RFPred	2.95879854340954
23	LassoPred	1.21268158271708
23	RidgePred	2.75923099793029
23	ForwardPredMean	1.10806149879097
23	BMA_Mean	0.882846041432194
65	RFPred	3.91889680499985
65	LassoPred	1.16828164620395
65	RidgePred	3.11921245316178
65	ForwardPredMean	0.852508945816645
65	BMA_Mean	0.855640050428904
43	RFPred	2.70815963680623
43	LassoPred	1.31516238875784
43	RidgePred	2.53254339914511
43	ForwardPredMean	1.22553191065087
43	BMA_Mean	0.97523623752284
21	RFPred	3.96845820182051
21	LassoPred	1.65980983248417
21	RidgePred	3.08270374767251
21	ForwardPredMean	1.26905096002162
21	BMA_Mean	0.886218832246253
70	RFPred	2.73875250224717
70	LassoPred	0.998896366562538
70	RidgePred	2.74650443450953
70	ForwardPredMean	1.0981131222927
70	BMA_Mean	0.845655981459657
32	RFPred	2.71556810355888
32	LassoPred	0.823013381833537
32	RidgePred	2.57261394404456
32	ForwardPredMean	0.899381692021861
32	BMA_Mean	0.540426956745419
100	RFPred	3.08324976573403
100	LassoPred	1.43451983788643
100	RidgePred	2.79485092284085
100	ForwardPredMean	1.15227584336526
100	BMA_Mean	1.09203483667827
44	RFPred	3.69423407638915
44	LassoPred	1.71206940245183
44	RidgePred	3.23322211921483
44	ForwardPredMean	0.966175612195729
44	BMA_Mean	1.11528627611642
92	RFPred	2.89969153944623
92	LassoPred	1.18094475176801
92	RidgePred	2.39320530877037
92	ForwardPredMean	1.45737947762642
92	BMA_Mean	1.30657258576218
13	RFPred	3.25338190866526
13	LassoPred	1.64196027830724
13	RidgePred	3.02477532182627
13	ForwardPredMean	1.16046239169088
13	BMA_Mean	1.04037565386224
93	RFPred	3.71121697365975
93	LassoPred	1.78417478290197
93	RidgePred	3.21571598209356
93	ForwardPredMean	1.43824069395992
93	BMA_Mean	0.979500225877354
16	RFPred	2.77665325414685
